tbl_am,fld_old,fld_new,fld_jan
hcaf_r,ID,,id
hcaf_r,CsquareCode,,csquare_code
hcaf_r,LOICZID,,loiczid
hcaf_r,NLimit,,n_limit
hcaf_r,Slimit,,slimit
hcaf_r,WLimit,,w_limit
hcaf_r,ELimit,,e_limit
hcaf_r,CenterLat,,center_lat
hcaf_r,CenterLong,,center_long
hcaf_r,CellArea,,cell_area
hcaf_r,OceanArea,,ocean_area
hcaf_r,PWater,,p_water
hcaf_r,ClimZoneCode,,clim_zone_code
hcaf_r,FAOAreaM,,fao_area_m
hcaf_r,FAOAreaIn,,fao_area_in
hcaf_r,CountryMain,,country_main
hcaf_r,CountrySecond,,country_second
hcaf_r,CountryThird,,country_third
hcaf_r,CountrySubMain,,country_sub_main
hcaf_r,CountrySubSecond,,country_sub_second
hcaf_r,CountrySubThird,,country_sub_third
hcaf_r,EEZ,,eez
hcaf_r,LME,,lme
hcaf_r,LMEBorder,,lme_border
hcaf_r,MEOW,,meow
hcaf_r,OceanBasin,,ocean_basin
hcaf_r,IslandsNo,,islands_no
hcaf_r,Area0_20,,area0_20
hcaf_r,Area20_40,,area20_40
hcaf_r,Area40_60,,area40_60
hcaf_r,Area60_80,,area60_80
hcaf_r,Area80_100,,area80_100
hcaf_r,AreaBelow100,,area_below100
hcaf_r,ElevationMin,,elevation_min
hcaf_r,ElevationMax,,elevation_max
hcaf_r,ElevationMean,,elevation_mean
hcaf_r,ElevationSD,,elevation_sd
hcaf_r,DepthMin,,depth_min
hcaf_r,DepthMax,,depth_max
hcaf_r,DepthMean,,depth_mean
hcaf_r,DepthSD,,depth_sd
hcaf_r,SSTAnMean,,sst_an_mean
hcaf_r,SBTAnMean,,sbt_an_mean
hcaf_r,SalinityMean,,salinity_mean
hcaf_r,SalinityBMean,,salinity_b_mean
hcaf_r,PrimProdMean,,prim_prod_mean
hcaf_r,IceConAnn,,ice_con_ann
hcaf_r,OxyMean,,oxy_mean
hcaf_r,OxyBMean,,oxy_b_mean
hcaf_r,LandDist,,land_dist
hcaf_r,Shelf,,shelf
hcaf_r,Slope,,slope
hcaf_r,Abyssal,,abyssal
hcaf_r,TidalRange,,tidal_range
hcaf_r,Coral,,coral
hcaf_r,Estuary,,estuary
hcaf_r,Seamount,,seamount
hcaf_r,MPA,,mpa
speciesoccursum_r,SpeciesID,,species_id
speciesoccursum_r,SpecCode,,spec_code
