taxonid,scientific_name,subspecies,rank,subpopulation,category
173005000,Abaeis nicippe,NA,NA,NA,LC
155277,Abantennarius analis,NA,NA,NA,LC
42271,Abies amabilis,NA,NA,NA,LC
42272,Abies balsamea,NA,NA,NA,LC
46521861,Abies balsamea var. balsamea,balsamea,var.,NA,LC
46521889,Abies balsamea var. phanerolepis,phanerolepis,var.,NA,DD
34019,Abies bracteata,NA,NA,NA,NT
42276,Abies concolor,NA,NA,NA,LC
32101,Abies fraseri,NA,NA,NA,EN
42284,Abies grandis,NA,NA,NA,LC
42289,Abies lasiocarpa,NA,NA,NA,LC
42290,Abies magnifica,NA,NA,NA,LC
42296,Abies procera,NA,NA,NA,LC
13486514,Ablennes hians,NA,NA,NA,LC
163184,Abralia andamanica,NA,NA,NA,LC
163302,Abralia astrosticta,NA,NA,NA,LC
163030,Abralia grimpei,NA,NA,NA,DD
163028,Abralia redfieldi,NA,NA,NA,LC
163262,Abralia trigonura,NA,NA,NA,LC
163114,Abralia veranyi,NA,NA,NA,LC
163405,Abraliopsis falco,NA,NA,NA,LC
163094,Abraliopsis felis,NA,NA,NA,LC
162933,Abraliopsis pacificus,NA,NA,NA,LC
188304,Abudefduf abdominalis,NA,NA,NA,LC
188581,Abudefduf saxatilis,NA,NA,NA,LC
188434,Abudefduf taurus,NA,NA,NA,LC
183397,Abudefduf troschelii,NA,NA,NA,LC
188609,Abudefduf vaigiensis,NA,NA,NA,LC
44059,Abutilon eremitopetalum,NA,NA,NA,CR
96817101,Abutilon incanum,NA,NA,NA,LC
44060,Abutilon menziesii,NA,NA,NA,CR
44061,Abutilon sandwicense,NA,NA,NA,CR
60469175,Abyssobrotula galatheae,NA,NA,NA,LC
144285095,Acacia amentacea,NA,NA,NA,LC
19892219,Acacia aneura,NA,NA,NA,LC
19891902,Acacia auriculiformis,NA,NA,NA,LC
18435782,Acacia confusa,NA,NA,NA,LC
96940287,Acacia cyclops,NA,NA,NA,LC
19891713,Acacia koa,NA,NA,NA,LC
30902,Acacia koaia,NA,NA,NA,VU
200142835,Acacia maidenii,NA,NA,NA,LC
130035828,Acaciella angustissima,NA,NA,NA,LC
44072,Acaena exigua,NA,NA,NA,EX
170000,Acanthacaris caeca,NA,NA,NA,LC
